bowler_type,strike_rate,strike_rate_std,wickets,deliveries_per_wicket,deliveries,batter,index
Left arm Fast,83.562,1.2803395668308835,3,24.333,73,SD Hope,
Left arm Orthodox,134.286,1.679335602917681,0,inf,35,SD Hope,
Left arm Wrist spin,125.0,0.5,0,inf,4,SD Hope,
Right arm Fast,120.37,1.575271875417536,8,13.5,108,SD Hope,
Right arm Legbreak,113.699,1.2727383916966717,6,12.167,73,SD Hope,
Right arm Offbreak,134.783,1.7217511078754548,1,23.0,23,SD Hope,
Left arm Fast,151.282,1.699408486438348,4,9.75,39,SO Hetmyer,
Left arm Orthodox,171.667,2.1320131861667035,4,15.0,60,SO Hetmyer,
Left arm Wrist spin,81.633,1.285714285714286,1,49.0,49,SO Hetmyer,
Right arm Fast,121.116,1.5821615150675854,11,22.818,251,SO Hetmyer,
Right arm Legbreak,98.261,1.3890714347364985,7,16.429,115,SO Hetmyer,
Right arm Offbreak,92.405,1.5256117049650997,1,79.0,79,SO Hetmyer,
Left arm Fast,100.0,,0,inf,1,RR Emrit,
Left arm Orthodox,33.333,0.5773502691896258,0,inf,3,RR Emrit,
Right arm Legbreak,72.727,1.7939291563999449,0,inf,11,RR Emrit,
Right arm Offbreak,33.333,0.5163977794943222,1,6.0,6,RR Emrit,
Left arm Fast,66.667,0.5773502691896258,1,3.0,3,Umar Amin,
Left arm Orthodox,200.0,2.1213203435596424,0,inf,9,Umar Amin,
Right arm Fast,55.0,0.9445132413883325,2,10.0,20,Umar Amin,
Right arm Legbreak,333.333,3.011090610836324,1,6.0,6,Umar Amin,
Right arm Offbreak,92.0,0.862167810425171,1,25.0,25,Umar Amin,
Left arm Fast,0.0,,1,1.0,1,Mohammad Nawaz (3),
Left arm Orthodox,200.0,2.70801280154532,0,inf,4,Mohammad Nawaz (3),
Left arm Wrist spin,50.0,0.5773502691896257,0,inf,4,Mohammad Nawaz (3),
Right arm Fast,96.226,1.5059148018466715,3,17.667,53,Mohammad Nawaz (3),
Left arm Fast,94.444,1.5135553089341052,1,18.0,18,Haris Sohail,
Left arm Orthodox,45.455,0.6875516509523286,2,5.5,11,Haris Sohail,
Left arm Wrist spin,78.571,1.05090228108783,0,inf,14,Haris Sohail,
Right arm Fast,98.99,1.3209068429121074,4,24.75,99,Haris Sohail,
Right arm Legbreak,100.0,0.36514837167011077,1,16.0,16,Haris Sohail,
Right arm Offbreak,300.0,2.449489742783178,0,inf,4,Haris Sohail,
Left arm Fast,125.0,1.5108304655560048,4,6.0,24,Faheem Ashraf,
Left arm Orthodox,36.842,0.49559462778335206,1,19.0,19,Faheem Ashraf,
Left arm Wrist spin,42.857,0.5135525910130955,0,inf,14,Faheem Ashraf,
Right arm Fast,153.846,1.9347425157843439,16,8.938,143,Faheem Ashraf,
Right arm Legbreak,64.706,0.492592183071889,0,inf,17,Faheem Ashraf,
Right arm Offbreak,33.333,0.5773502691896258,0,inf,3,Faheem Ashraf,
Left arm Fast,105.263,1.7150861400630166,2,9.5,19,Mohammad Amir,
Left arm Orthodox,87.5,2.100170061141308,0,inf,8,Mohammad Amir,
Right arm Fast,51.852,0.5798123284152694,3,9.0,27,Mohammad Amir,
Right arm Offbreak,115.385,1.6251232694862385,1,13.0,13,Mohammad Amir,
Left arm Fast,66.667,0.5773502691896258,1,3.0,3,SHA Rance,
Left arm Wrist spin,20.0,0.447213595499958,1,5.0,5,SHA Rance,
Right arm Fast,16.667,0.408248290463863,1,6.0,6,SHA Rance,
Right arm Legbreak,85.714,1.2149857925879117,0,inf,7,SHA Rance,
Left arm Fast,100.0,,0,inf,1,Aamer Yamin,
Right arm Fast,280.0,2.280350850198276,0,inf,5,Aamer Yamin,
Left arm Fast,75.0,0.5,0,inf,4,DT Christian,
Left arm Orthodox,188.889,2.260776661041756,0,inf,9,DT Christian,
Right arm Fast,94.737,1.3112201362143714,3,6.333,19,DT Christian,
Right arm Legbreak,133.333,1.3662601021279464,0,inf,6,DT Christian,
Right arm Offbreak,100.0,,0,inf,1,DT Christian,
Left arm Fast,146.667,1.846489590960049,2,7.5,15,NM Coulter-Nile,
Left arm Orthodox,100.0,0.7071067811865476,0,inf,5,NM Coulter-Nile,
Right arm Fast,116.949,1.7235943035421082,4,14.75,59,NM Coulter-Nile,
Right arm Legbreak,118.75,1.8337120820892248,1,16.0,16,NM Coulter-Nile,
Left arm Fast,57.143,1.0281745265969473,4,5.25,21,A Zampa,
Left arm Orthodox,100.0,,0,inf,1,A Zampa,
Right arm Fast,88.889,1.1318329168362207,1,18.0,18,A Zampa,
Right arm Legbreak,116.667,1.4719601443879744,0,inf,6,A Zampa,
Left arm Fast,73.333,0.5936168397046636,1,15.0,15,B Kumar,
Right arm Fast,58.974,0.7510676161988107,5,7.8,39,B Kumar,
Right arm Legbreak,78.571,0.9749612559222293,1,14.0,14,B Kumar,
Right arm Offbreak,61.111,0.6076849889141857,0,inf,18,B Kumar,
Left arm Fast,100.0,,0,inf,1,Kuldeep Yadav,
Right arm Fast,67.391,0.8706153079820923,4,11.5,46,Kuldeep Yadav,
Right arm Legbreak,75.0,0.7071067811865476,0,inf,8,Kuldeep Yadav,
Right arm Offbreak,66.667,0.816496580927726,0,inf,6,Kuldeep Yadav,
Left arm Fast,50.0,0.7071067811865476,0,inf,2,JJ Bumrah,
Left arm Orthodox,0.0,0.0,0,inf,2,JJ Bumrah,
Right arm Fast,70.0,1.2516655570345725,0,inf,10,JJ Bumrah,
Right arm Fast,46.154,0.8770580193070292,2,6.5,13,YS Chahal,
Left arm Fast,0.0,,0,inf,1,KW Richardson,
Left arm Orthodox,100.0,1.0,0,inf,3,KW Richardson,
Right arm Fast,75.0,0.5,1,4.0,4,KW Richardson,
Right arm Legbreak,66.667,1.1547005383792517,1,3.0,3,KW Richardson,
Left arm Fast,60.0,0.6992058987801011,0,inf,10,MJ Swepson,
Right arm Fast,66.667,0.5773502691896258,0,inf,3,MJ Swepson,
Right arm Legbreak,183.333,2.228601953392904,0,inf,6,MJ Swepson,
Left arm Fast,100.0,,0,inf,1,B Stanlake,
Right arm Fast,87.5,2.100170061141308,1,8.0,8,B Stanlake,
Right arm Legbreak,25.0,0.5,0,inf,4,B Stanlake,
Left arm Fast,105.882,1.324390688274108,1,34.0,34,TWM Latham,
Left arm Orthodox,129.63,1.4887995891066792,0,inf,27,TWM Latham,
Right arm Fast,95.0,1.2599246294689401,5,28.0,140,TWM Latham,
Right arm Legbreak,100.0,1.2149857925879117,3,14.333,43,TWM Latham,
Right arm Offbreak,103.704,1.1649433213674398,3,18.0,54,TWM Latham,
Right arm Fast,72.727,1.2720777563426766,1,11.0,11,HM Nicholls,
Right arm Legbreak,66.667,0.5773502691896258,0,inf,3,HM Nicholls,
Left arm Fast,133.333,1.513979798894514,3,30.0,90,SS Iyer,
Left arm Orthodox,111.667,1.5523810761696748,1,60.0,60,SS Iyer,
Left arm Wrist spin,150.0,2.1908902300206647,2,8.0,16,SS Iyer,
Right arm Fast,125.466,1.5954745311376524,13,24.769,322,SS Iyer,
Right arm Legbreak,133.673,1.5260208856106812,6,16.333,98,SS Iyer,
Right arm Offbreak,161.111,1.8515141304249878,0,inf,18,SS Iyer,
Left arm Fast,150.0,1.8979043222266319,5,10.0,50,AR Patel,
Left arm Orthodox,66.667,0.5773502691896258,0,inf,3,AR Patel,
Right arm Fast,116.495,1.4625919655638613,6,16.167,97,AR Patel,
Right arm Legbreak,94.118,1.0289915108550531,1,17.0,17,AR Patel,
Right arm Offbreak,166.667,1.2110601416389966,0,inf,6,AR Patel,
Left arm Fast,114.085,1.6062002601338115,4,17.75,71,MD Gunathilaka,
Left arm Orthodox,132.653,1.6880431854423534,4,12.25,49,MD Gunathilaka,
Left arm Wrist spin,25.0,0.5,1,4.0,4,MD Gunathilaka,
Right arm Fast,112.683,1.5822273315016813,13,15.769,205,MD Gunathilaka,
Right arm Legbreak,108.824,1.5446417071816565,3,11.333,34,MD Gunathilaka,
Right arm Offbreak,97.183,1.2758395665590503,5,14.2,71,MD Gunathilaka,
Left arm Fast,95.652,0.9282564726687249,0,inf,23,S Samarawickrama,
Left arm Orthodox,45.455,0.6875516509523287,2,5.5,11,S Samarawickrama,
Left arm Wrist spin,135.714,1.2157392722216298,0,inf,14,S Samarawickrama,
Right arm Fast,131.373,1.462739841235363,3,17.0,51,S Samarawickrama,
Right arm Legbreak,66.667,0.9283257067894755,3,14.0,42,S Samarawickrama,
Right arm Offbreak,92.0,0.862167810425171,0,inf,25,S Samarawickrama,
Left arm Fast,118.182,1.4709304414677,0,inf,11,ML Udawatte,
Left arm Orthodox,100.0,0.0,0,inf,2,ML Udawatte,
Right arm Fast,109.091,1.7432616094439295,4,5.5,22,ML Udawatte,
Right arm Legbreak,40.0,0.5477225575051661,1,5.0,5,ML Udawatte,
Right arm Offbreak,150.0,1.7320508075688772,0,inf,4,ML Udawatte,
Left arm Fast,0.0,0.0,1,2.0,2,SS Pathirana,
Right arm Fast,121.053,1.3975751766073288,3,6.333,19,SS Pathirana,
Left arm Fast,50.0,0.7071067811865476,1,2.0,2,PC de Silva,
Left arm Orthodox,166.667,2.0816659994661326,0,inf,3,PC de Silva,
Left arm Wrist spin,100.0,,0,inf,1,PC de Silva,
Right arm Fast,100.0,0.4714045207910317,0,inf,10,PC de Silva,
Right arm Legbreak,66.667,0.5773502691896258,1,3.0,3,PC de Silva,
Right arm Offbreak,100.0,0.0,0,inf,3,PC de Silva,
Left arm Fast,100.0,1.4482958867613194,6,7.0,42,H Klaasen,
Left arm Orthodox,131.818,1.5215158792548054,0,inf,44,H Klaasen,
Left arm Wrist spin,175.0,2.1213203435596424,1,8.0,8,H Klaasen,
Right arm Fast,148.603,1.6938671329353632,11,16.273,179,H Klaasen,
Right arm Legbreak,158.621,1.8546715106948675,4,14.5,58,H Klaasen,
Right arm Offbreak,100.0,1.5811388300841898,0,inf,13,H Klaasen,
Left arm Fast,80.0,1.2292725943057181,1,10.0,10,CJ Dala,
Left arm Wrist spin,33.333,0.5773502691896258,0,inf,3,CJ Dala,
Right arm Fast,100.0,0.5345224838248488,0,inf,8,CJ Dala,
Right arm Offbreak,28.571,0.4879500364742666,0,inf,7,CJ Dala,
Left arm Fast,11.111,0.33333333333333337,2,4.5,9,T Shamsi,
Left arm Orthodox,33.333,0.5163977794943223,0,inf,6,T Shamsi,
Left arm Wrist spin,100.0,,0,inf,1,T Shamsi,
Right arm Fast,14.286,0.37796447300922725,3,2.333,7,T Shamsi,
Right arm Legbreak,100.0,,0,inf,1,T Shamsi,
Right arm Fast,190.0,1.9166857359844665,1,20.0,20,C Jonker,
Right arm Offbreak,220.0,1.7888543819998317,0,inf,5,C Jonker,
Left arm Fast,135.795,1.7212103111081272,4,44.0,176,MDKJ Perera,
Left arm Orthodox,108.929,1.0492730940865804,4,14.0,56,MDKJ Perera,
Left arm Wrist spin,200.0,2.2990681342044406,2,14.5,29,MDKJ Perera,
Right arm Fast,123.797,1.6058045310676041,19,19.684,374,MDKJ Perera,
Right arm Legbreak,142.708,1.7152246541007652,4,24.0,96,MDKJ Perera,
Right arm Offbreak,92.126,1.2699599994487918,7,18.143,127,MDKJ Perera,
Left arm Fast,33.333,0.5163977794943222,1,6.0,6,A Dananjaya,
Left arm Wrist spin,0.0,0.0,1,5.0,5,A Dananjaya,
Right arm Fast,123.077,1.3944946699845735,1,26.0,26,A Dananjaya,
Right arm Legbreak,75.0,1.3887301496588271,1,8.0,8,A Dananjaya,
Right arm Offbreak,50.0,0.5773502691896257,1,4.0,4,A Dananjaya,
Left arm Fast,50.0,0.7071067811865476,1,2.0,2,PVD Chameera,
Left arm Orthodox,83.333,1.6020819787597222,1,6.0,6,PVD Chameera,
Left arm Wrist spin,66.667,0.5773502691896258,0,inf,3,PVD Chameera,
Right arm Fast,101.887,1.3515029530935587,9,5.889,53,PVD Chameera,
Right arm Legbreak,75.0,0.5,0,inf,4,PVD Chameera,
Right arm Offbreak,50.0,0.5222329678670935,1,12.0,12,PVD Chameera,
Right arm Fast,14.286,0.37796447300922725,1,7.0,7,N Pradeep,
Right arm Legbreak,50.0,0.7071067811865476,0,inf,2,N Pradeep,
Left arm Fast,102.92,1.408699889966423,7,19.571,137,LD Chandimal,
Left arm Orthodox,93.671,1.1473690322657883,4,19.75,79,LD Chandimal,
Left arm Wrist spin,171.429,2.3603873774083297,0,inf,7,LD Chandimal,
Right arm Fast,106.637,1.4360507957261144,14,16.143,226,LD Chandimal,
Right arm Legbreak,76.923,0.9593875146065973,8,14.625,117,LD Chandimal,
Right arm Offbreak,114.062,1.367040454110486,3,21.333,64,LD Chandimal,
Left arm Fast,150.0,1.6035674514745464,1,8.0,8,BMAJ Mendis,
Left arm Orthodox,125.0,1.8439088914585773,1,16.0,16,BMAJ Mendis,
Right arm Fast,102.128,1.15135764288584,2,23.5,47,BMAJ Mendis,
Right arm Legbreak,100.0,1.3093073414159542,0,inf,8,BMAJ Mendis,
Right arm Offbreak,78.378,1.1089317966988457,3,12.333,37,BMAJ Mendis,
Left arm Fast,50.0,0.7071067811865476,1,2.0,2,RAS Lakmal,
Right arm Fast,100.0,1.7320508075688774,0,inf,5,RAS Lakmal,
Left arm Fast,69.231,1.109400392450458,0,inf,13,Hussain Talat,
Left arm Orthodox,100.0,1.414213562373095,0,inf,8,Hussain Talat,
Left arm Wrist spin,120.0,1.3844373104863457,3,8.333,25,Hussain Talat,
Right arm Fast,119.31,1.3503937271739692,5,29.0,145,Hussain Talat,
Right arm Legbreak,129.73,1.4503805030417376,0,inf,37,Hussain Talat,
Right arm Offbreak,136.0,1.8903262505010436,2,12.5,25,Hussain Talat,
Left arm Fast,145.455,1.7869476260321169,3,11.0,33,Asif Ali,
Left arm Orthodox,100.0,1.2565617248750864,1,20.0,20,Asif Ali,
Left arm Wrist spin,84.848,1.2530266388133005,2,16.5,33,Asif Ali,
Right arm Fast,137.143,1.804937581079405,15,11.667,175,Asif Ali,
Right arm Legbreak,80.488,1.1004433696270324,5,8.2,41,Asif Ali,
Right arm Offbreak,200.0,1.7320508075688772,0,inf,3,Asif Ali,
Left arm Fast,167.925,1.8991251518858356,4,13.25,53,D Ramdin,
Left arm Orthodox,62.162,0.7941225539113158,2,18.5,37,D Ramdin,
Left arm Wrist spin,75.0,0.5,0,inf,4,D Ramdin,
Right arm Fast,115.764,1.4367104633737022,12,16.917,203,D Ramdin,
Right arm Legbreak,100.0,1.5191090506254998,0,inf,40,D Ramdin,
Right arm Offbreak,132.609,1.6607140074355828,3,15.333,46,D Ramdin,
Left arm Fast,88.889,0.9633818428657449,1,18.0,18,KMA Paul,
Left arm Orthodox,17.647,0.39295262399668784,0,inf,17,KMA Paul,
Left arm Wrist spin,260.0,3.1304951684997055,0,inf,5,KMA Paul,
Right arm Fast,80.392,1.0958030451342478,4,12.75,51,KMA Paul,
Right arm Legbreak,95.652,1.609016098839322,1,23.0,23,KMA Paul,
Right arm Offbreak,250.0,2.1213203435596424,0,inf,2,KMA Paul,
Left arm Fast,146.154,1.8161667154921484,3,8.667,26,OF Smith,
Left arm Orthodox,200.0,2.70801280154532,0,inf,4,OF Smith,
Left arm Wrist spin,25.0,0.5,1,4.0,4,OF Smith,
Right arm Fast,142.254,1.809987938641628,4,17.75,71,OF Smith,
Right arm Legbreak,0.0,0.0,1,6.0,6,OF Smith,
Left arm Orthodox,75.0,0.9574271077563381,0,inf,4,AM McCarthy,
Right arm Legbreak,50.0,0.5773502691896257,1,4.0,4,AM McCarthy,
Left arm Fast,114.286,1.508354161041854,1,28.0,28,JL Denly,
Left arm Orthodox,100.0,1.4142135623730951,1,7.0,7,JL Denly,
Right arm Fast,90.476,1.2143534814378325,7,9.0,63,JL Denly,
Right arm Legbreak,125.0,1.892969448600091,0,inf,4,JL Denly,
Right arm Offbreak,150.0,1.591644851508443,0,inf,16,JL Denly,
Left arm Fast,123.301,1.4294101587247798,5,20.6,103,DM de Silva,
Left arm Orthodox,83.871,0.9694250596289323,3,10.333,31,DM de Silva,
Left arm Wrist spin,125.0,1.377732974181916,1,28.0,28,DM de Silva,
Right arm Fast,112.195,1.4878301738377873,11,22.364,246,DM de Silva,
Right arm Legbreak,111.268,1.3160147854765338,6,23.667,142,DM de Silva,
Right arm Offbreak,125.532,1.4060132522472581,3,15.667,47,DM de Silva,
Left arm Wrist spin,71.429,0.4879500364742666,0,inf,7,PHKD Mendis,
Right arm Fast,138.889,1.711770641808864,1,36.0,36,PHKD Mendis,
Right arm Legbreak,66.667,0.5,2,4.5,9,PHKD Mendis,
Right arm Offbreak,155.556,2.068278940998476,1,9.0,9,PHKD Mendis,
Right arm Fast,0.0,0.0,1,2.0,2,MA Aponso,
Left arm Fast,0.0,0.0,0,inf,2,PADLR Sandakan,
Right arm Fast,50.0,1.0431851677040116,0,inf,18,PADLR Sandakan,
Right arm Legbreak,57.143,0.5345224838248488,0,inf,7,PADLR Sandakan,
Right arm Offbreak,66.667,0.5163977794943223,1,6.0,6,PADLR Sandakan,
Left arm Fast,96.0,1.5132745950421556,1,25.0,25,K Rabada,
Left arm Orthodox,122.222,1.855921454276674,0,inf,9,K Rabada,
Left arm Wrist spin,0.0,0.0,1,2.0,2,K Rabada,
Right arm Fast,100.0,1.4301938838683885,3,15.0,45,K Rabada,
Right arm Legbreak,33.333,0.5,1,9.0,9,K Rabada,
Right arm Offbreak,200.0,1.7320508075688772,0,inf,3,K Rabada,
Left arm Fast,100.0,0.0,0,inf,3,L Ngidi,
Left arm Orthodox,0.0,0.0,2,1.0,2,L Ngidi,
Right arm Fast,65.0,0.9880869341680844,2,10.0,20,L Ngidi,
Left arm Fast,50.0,0.8366600265340756,0,inf,6,NJ Maddinson,
Left arm Orthodox,0.0,0.0,0,inf,2,NJ Maddinson,
Right arm Fast,183.333,1.9478494929174641,2,9.0,18,NJ Maddinson,
Right arm Legbreak,66.667,0.5773502691896258,1,3.0,3,NJ Maddinson,
Right arm Offbreak,250.0,2.1213203435596424,0,inf,2,NJ Maddinson,
Left arm Fast,100.0,,0,inf,1,JD Wildermuth,
Left arm Orthodox,20.0,0.4472135954999579,1,5.0,5,Sahibzada Farhan,
Right arm Fast,111.765,1.6156404667026196,1,17.0,17,Sahibzada Farhan,
Right arm Offbreak,0.0,,1,1.0,1,Sahibzada Farhan,
Left arm Fast,118.367,1.4886657766537548,8,30.625,245,Mohammad Rizwan,
Left arm Orthodox,115.385,1.4368710398085054,5,36.4,182,Mohammad Rizwan,
Left arm Wrist spin,145.946,1.425844673529706,1,37.0,37,Mohammad Rizwan,
Right arm Fast,131.931,1.6198451703356924,17,30.765,523,Mohammad Rizwan,
Right arm Legbreak,114.062,1.2781283991541732,3,42.667,128,Mohammad Rizwan,
Right arm Offbreak,104.717,1.3827651763022706,2,53.0,106,Mohammad Rizwan,
Left arm Orthodox,100.0,1.5491933384829668,1,6.0,6,GL Cloete,
Right arm Fast,50.0,0.5773502691896257,0,inf,4,GL Cloete,
Right arm Offbreak,250.0,2.1213203435596424,0,inf,2,GL Cloete,
Left arm Fast,135.714,1.6693037084102522,3,28.0,84,HE van der Dussen,
Left arm Orthodox,114.0,1.590918102280336,2,25.0,50,HE van der Dussen,
Right arm Fast,133.942,1.6457674724924167,13,21.077,274,HE van der Dussen,
Right arm Legbreak,109.639,1.4280675825311022,1,83.0,83,HE van der Dussen,
Right arm Offbreak,116.667,1.307725096316589,1,24.0,24,HE van der Dussen,
Left arm Fast,147.692,2.0699312511809143,0,inf,65,JN Malan,
Left arm Orthodox,85.185,1.509809527002229,4,13.5,54,JN Malan,
Right arm Fast,156.863,1.5780355124113565,2,25.5,51,JN Malan,
Right arm Legbreak,122.222,1.6414763002993509,2,4.5,9,JN Malan,
Left arm Fast,160.0,2.0110804171997807,0,inf,10,Shaheen Shah Afridi,
Left arm Orthodox,233.333,2.250925735484551,0,inf,6,Shaheen Shah Afridi,
Right arm Fast,110.87,1.7413693318071426,6,7.667,46,Shaheen Shah Afridi,
Right arm Legbreak,50.0,0.5477225575051661,1,6.0,6,Shaheen Shah Afridi,
Left arm Fast,11.111,0.33333333333333337,1,9.0,9,BE Hendricks,
Right arm Fast,183.333,2.3166067138525404,1,6.0,6,BE Hendricks,
Right arm Legbreak,75.0,0.9574271077563381,0,inf,4,BE Hendricks,
Left arm Fast,100.0,1.7320508075688772,0,inf,5,L Sipamla,
Right arm Fast,50.0,0.5477225575051661,1,6.0,6,L Sipamla,
Left arm Fast,33.333,0.5163977794943222,1,6.0,6,DW Steyn,
Left arm Orthodox,0.0,,1,1.0,1,DW Steyn,
Right arm Fast,116.667,1.4719601443879746,0,inf,6,DW Steyn,
Left arm Fast,40.0,0.5477225575051662,0,inf,5,Imran Tahir,
Right arm Fast,114.286,2.2677868380553634,1,7.0,7,Imran Tahir,
Left arm Fast,108.0,1.4118545723031581,1,25.0,25,WIA Fernando,
Left arm Orthodox,91.429,1.0459425697490519,1,70.0,70,WIA Fernando,
Left arm Wrist spin,33.333,0.5773502691896258,1,3.0,3,WIA Fernando,
Right arm Fast,103.03,1.5868707212932052,14,9.429,132,WIA Fernando,
Right arm Legbreak,85.417,0.989080452664985,3,16.0,48,WIA Fernando,
Right arm Offbreak,114.286,1.3451854182690985,1,7.0,7,WIA Fernando,
Left arm Fast,100.0,0.6324555320336759,0,inf,6,AK Perera,
Left arm Wrist spin,20.0,0.447213595499958,1,5.0,5,AK Perera,
Right arm Fast,68.0,0.8999999999999998,1,25.0,25,AK Perera,
Right arm Legbreak,123.077,1.4232501627054275,0,inf,13,AK Perera,
Left arm Fast,133.654,1.6582279518371175,2,52.0,104,AK Markram,
Left arm Orthodox,154.688,1.8765866302817948,5,12.8,64,AK Markram,
Left arm Wrist spin,100.0,,0,inf,1,AK Markram,
Right arm Fast,155.285,1.7388865873875303,7,35.143,246,AK Markram,
Right arm Legbreak,138.776,1.483468999375735,4,12.25,49,AK Markram,
Right arm Offbreak,133.333,1.645195023900409,0,inf,51,AK Markram,
Left arm Orthodox,112.5,2.03100960115899,0,inf,8,D Pretorius,
Right arm Fast,164.583,1.8735514499103016,5,9.6,48,D Pretorius,
Right arm Legbreak,75.0,1.4218787326754636,3,8.0,24,D Pretorius,
Left arm Fast,118.75,1.554130811947682,1,32.0,32,BR McDermott,
Left arm Orthodox,85.714,0.890870806374748,3,9.333,28,BR McDermott,
Left arm Wrist spin,77.778,0.8333333333333334,0,inf,9,BR McDermott,
Right arm Fast,110.959,1.5595729814031398,5,14.6,73,BR McDermott,
Right arm Legbreak,135.294,1.685631847025816,0,inf,34,BR McDermott,
Right arm Offbreak,105.556,1.2589548523523146,2,9.0,18,BR McDermott,
Left arm Fast,40.0,0.5163977794943222,1,10.0,10,KH Pandya,
Left arm Orthodox,160.0,1.3498971154211057,0,inf,10,KH Pandya,
Left arm Wrist spin,60.0,0.8944271909999159,0,inf,5,KH Pandya,
Right arm Fast,145.652,1.8221662534117085,3,15.333,46,KH Pandya,
Right arm Legbreak,123.077,1.832750490103429,0,inf,13,KH Pandya,
Right arm Offbreak,50.0,0.7071067811865476,0,inf,2,KH Pandya,
Left arm Fast,133.333,2.3094010767585034,1,3.0,3,BM Duckett,
Left arm Orthodox,162.5,1.408499544814245,2,16.0,32,BM Duckett,
Right arm Fast,160.0,1.5518257844571737,0,inf,50,BM Duckett,
Right arm Legbreak,175.0,1.6626141206803562,0,inf,36,BM Duckett,
Right arm Offbreak,120.0,1.1352924243950933,0,inf,10,BM Duckett,
Left arm Fast,75.0,0.5,0,inf,4,Imam-ul-Haq,
Right arm Fast,85.714,1.2761549390929883,2,10.5,21,Imam-ul-Haq,
Left arm Orthodox,100.0,1.8708286933869709,2,6.5,13,V Shankar,
Right arm Fast,146.667,1.7167196733251497,0,inf,30,V Shankar,
Right arm Legbreak,260.0,3.1304951684997055,0,inf,5,V Shankar,
Right arm Fast,100.0,,0,inf,1,KK Ahmed,
Left arm Fast,205.085,2.2083206977058016,4,14.75,59,DJ Mitchell,
Left arm Orthodox,120.0,1.4719601443879744,2,12.5,25,DJ Mitchell,
Left arm Wrist spin,109.091,1.7002673586554236,0,inf,11,DJ Mitchell,
Right arm Fast,138.017,1.541978027770261,15,16.133,242,DJ Mitchell,
Right arm Legbreak,145.545,1.6032763484518042,3,33.667,101,DJ Mitchell,
Right arm Offbreak,90.164,1.1504335129678565,3,20.333,61,DJ Mitchell,
Left arm Fast,266.667,2.3380903889000244,1,6.0,6,SC Kuggeleijn,
Left arm Wrist spin,160.0,2.5099800796022267,0,inf,5,SC Kuggeleijn,
Right arm Fast,225.0,2.3141441523584345,1,20.0,20,SC Kuggeleijn,
Right arm Offbreak,133.333,2.3380903889000244,2,3.0,6,SC Kuggeleijn,
Left arm Fast,50.0,0.5773502691896257,0,inf,4,CAK Rajitha,
Left arm Orthodox,50.0,0.5270462766947299,0,inf,10,CAK Rajitha,
Right arm Fast,58.333,1.0790207200446682,0,inf,36,CAK Rajitha,
Right arm Legbreak,33.333,0.5,1,9.0,9,CAK Rajitha,
Right arm Fast,50.0,0.7071067811865476,0,inf,2,CBRLS Kumara,
Right arm Legbreak,114.286,1.9518001458970664,2,3.5,7,CBRLS Kumara,
Right arm Offbreak,50.0,0.7071067811865476,0,inf,2,CBRLS Kumara,
Left arm Fast,113.675,1.5080587139053683,3,39.0,117,MR Marsh,
Left arm Orthodox,137.143,1.7880863366327557,3,35.0,105,MR Marsh,
Left arm Wrist spin,122.222,1.092906420717,0,inf,9,MR Marsh,
Right arm Fast,149.465,1.8549905911707465,13,28.769,374,MR Marsh,
Right arm Legbreak,117.647,1.4299879033714356,6,19.833,119,MR Marsh,
Right arm Offbreak,75.676,1.1880283714673703,3,12.333,37,MR Marsh,
Left arm Fast,25.0,0.5,2,2.0,4,LH Ferguson,
Right arm Fast,94.737,1.8700470644857614,4,4.75,19,LH Ferguson,
Right arm Legbreak,66.667,0.5773502691896258,0,inf,3,LH Ferguson,
Right arm Offbreak,100.0,,0,inf,1,LH Ferguson,
Left arm Fast,106.061,1.6759212753623367,1,33.0,33,DM Bravo,
Left arm Orthodox,107.5,1.5752492680240344,1,40.0,40,DM Bravo,
Left arm Wrist spin,25.0,0.5,2,2.0,4,DM Bravo,
Right arm Fast,100.0,1.4433756729740645,4,18.25,73,DM Bravo,
Right arm Legbreak,102.439,1.5409056570414812,0,inf,41,DM Bravo,
Right arm Offbreak,72.414,1.1049030035744882,3,19.333,58,DM Bravo,
Left arm Fast,112.5,1.5438048235879216,2,8.0,16,FA Allen,
Left arm Orthodox,200.0,1.6733200530681511,0,inf,6,FA Allen,
Left arm Wrist spin,55.556,1.3333333333333333,0,inf,9,FA Allen,
Right arm Fast,151.579,2.046601531209139,4,23.75,95,FA Allen,
Right arm Legbreak,73.913,1.7113894223527009,5,4.6,23,FA Allen,
Right arm Offbreak,140.0,2.6076809620810595,0,inf,5,FA Allen,
Right arm Fast,84.615,1.4632243987255136,1,13.0,13,K Pierre,
Right arm Fast,75.0,1.5447859516333118,2,6.0,12,O Thomas,
Right arm Fast,41.176,1.0036697371030325,1,17.0,17,D Bishoo,
Right arm Legbreak,50.0,0.5345224838248488,0,inf,8,D Bishoo,
Right arm Fast,77.778,1.3017082793177757,2,4.5,9,SS Cottrell,
Right arm Legbreak,33.333,0.5773502691896258,1,3.0,3,SS Cottrell,
Left arm Fast,40.0,1.2649110640673518,1,10.0,10,OC McCoy,
Left arm Wrist spin,0.0,,1,1.0,1,OC McCoy,
Right arm Fast,165.0,2.0332758116683998,1,20.0,20,OC McCoy,
Right arm Legbreak,122.222,2.157219221878442,2,9.0,18,OC McCoy,
Right arm Offbreak,66.667,0.5773502691896258,0,inf,3,OC McCoy,
Left arm Fast,12.5,0.3535533905932738,1,8.0,8,JD Campbell,
Right arm Fast,166.667,1.8618986725025257,0,inf,6,JD Campbell,
